
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KQCA ]==--
Average terrain at 286 degrees azimuth: 1.20 meters AMSL
Average terrain at 287 degrees azimuth: 1.30 meters AMSL
Average terrain at 288 degrees azimuth: 1.34 meters AMSL
Average terrain at 289 degrees azimuth: 1.40 meters AMSL
Average terrain at 290 degrees azimuth: 1.44 meters AMSL
Average terrain at 291 degrees azimuth: 1.45 meters AMSL
Average terrain at 292 degrees azimuth: 1.50 meters AMSL
Average terrain at 293 degrees azimuth: 1.57 meters AMSL
Average terrain at 294 degrees azimuth: 1.66 meters AMSL
Average terrain at 295 degrees azimuth: 1.74 meters AMSL
Average terrain at 296 degrees azimuth: 1.80 meters AMSL
Average terrain at 297 degrees azimuth: 1.81 meters AMSL
Average terrain at 298 degrees azimuth: 1.72 meters AMSL
Average terrain at 299 degrees azimuth: 1.69 meters AMSL
Average terrain at 300 degrees azimuth: 1.69 meters AMSL
Average terrain at 301 degrees azimuth: 1.64 meters AMSL
Average terrain at 302 degrees azimuth: 1.54 meters AMSL
Average terrain at 303 degrees azimuth: 1.55 meters AMSL
Average terrain at 304 degrees azimuth: 1.61 meters AMSL
Average terrain at 305 degrees azimuth: 1.74 meters AMSL
Average terrain at 306 degrees azimuth: 1.86 meters AMSL
Average terrain at 307 degrees azimuth: 2.08 meters AMSL
Average terrain at 308 degrees azimuth: 2.09 meters AMSL
Average terrain at 309 degrees azimuth: 2.23 meters AMSL
Average terrain at 310 degrees azimuth: 2.28 meters AMSL
Average terrain at 311 degrees azimuth: 2.27 meters AMSL
Average terrain at 312 degrees azimuth: 2.25 meters AMSL
Average terrain at 313 degrees azimuth: 2.25 meters AMSL
Average terrain at 314 degrees azimuth: 2.20 meters AMSL
Average terrain at 315 degrees azimuth: 2.13 meters AMSL
Average terrain at 316 degrees azimuth: 2.12 meters AMSL
Average terrain at 317 degrees azimuth: 2.16 meters AMSL
Average terrain at 318 degrees azimuth: 2.10 meters AMSL
Average terrain at 319 degrees azimuth: 2.07 meters AMSL
Average terrain at 320 degrees azimuth: 2.03 meters AMSL
Average terrain at 321 degrees azimuth: 2.02 meters AMSL
Average terrain at 322 degrees azimuth: 2.03 meters AMSL
Average terrain at 323 degrees azimuth: 2.08 meters AMSL
Average terrain at 324 degrees azimuth: 1.99 meters AMSL
Average terrain at 325 degrees azimuth: 1.97 meters AMSL
Average terrain at 326 degrees azimuth: 1.84 meters AMSL
Average terrain at 327 degrees azimuth: 1.78 meters AMSL
Average terrain at 328 degrees azimuth: 1.70 meters AMSL
Average terrain at 329 degrees azimuth: 1.61 meters AMSL
Average terrain at 330 degrees azimuth: 1.55 meters AMSL
Average terrain at 331 degrees azimuth: 1.51 meters AMSL
Average terrain at 332 degrees azimuth: 1.44 meters AMSL
Average terrain at 333 degrees azimuth: 1.43 meters AMSL
Average terrain at 334 degrees azimuth: 1.43 meters AMSL
Average terrain at 335 degrees azimuth: 1.43 meters AMSL
Average terrain at 336 degrees azimuth: 1.52 meters AMSL
Average terrain at 337 degrees azimuth: 1.53 meters AMSL
Average terrain at 338 degrees azimuth: 1.56 meters AMSL
Average terrain at 339 degrees azimuth: 1.57 meters AMSL
Average terrain at 340 degrees azimuth: 1.60 meters AMSL
Average terrain at 341 degrees azimuth: 1.64 meters AMSL
Average terrain at 342 degrees azimuth: 1.60 meters AMSL
Average terrain at 343 degrees azimuth: 1.63 meters AMSL
Average terrain at 344 degrees azimuth: 1.62 meters AMSL
Average terrain at 345 degrees azimuth: 1.76 meters AMSL
Average terrain at 346 degrees azimuth: 1.72 meters AMSL
Average terrain at 347 degrees azimuth: 1.78 meters AMSL
Average terrain at 348 degrees azimuth: 1.76 meters AMSL
Average terrain at 349 degrees azimuth: 1.69 meters AMSL
Average terrain at 350 degrees azimuth: 1.74 meters AMSL
Average terrain at 351 degrees azimuth: 1.90 meters AMSL
Average terrain at 352 degrees azimuth: 1.89 meters AMSL
Average terrain at 353 degrees azimuth: 2.04 meters AMSL
Average terrain at 354 degrees azimuth: 1.93 meters AMSL
Average terrain at 355 degrees azimuth: 1.70 meters AMSL
Average terrain at 356 degrees azimuth: 2.08 meters AMSL
Average terrain at 357 degrees azimuth: 2.07 meters AMSL
Average terrain at 358 degrees azimuth: 1.98 meters AMSL
Average terrain at 359 degrees azimuth: 1.96 meters AMSL
Average terrain at 360 degrees azimuth: 1.92 meters AMSL

---------------------------------------------------------------------------

